Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"150", 4.16, 1,    2401.75,    0.0,   0.99999, 2,    2401.76, -120.0,   0.99999, 3,    2401.76,  120.0,   0.99999
"150R", 4.16, 1,    2506.82,    0.0,    1.0437, 2,    2506.83, -120.0,    1.0437, 3,    2506.83,  120.0,    1.0437
"149", 4.16, 1,    2506.82,    0.0,    1.0437, 2,    2506.83, -120.0,    1.0437, 3,    2506.83,  120.0,    1.0437
"1", 4.16, 1,     2476.9,   -0.6,    1.0313, 2,    2500.93, -120.3,    1.0413, 3,    2485.54,  119.6,    1.0349
"2", 4.16, 2,     2500.4, -120.3,    1.0411, 0, 0, 0, 0, 0, 0, 0, 0
"3", 4.16, 3,    2481.59,  119.6,    1.0332, 0, 0, 0, 0, 0, 0, 0, 0
"7", 4.16, 1,    2454.61,   -1.1,     1.022, 2,    2496.74, -120.6,    1.0395, 3,    2471.86,  119.4,    1.0292
"4", 4.16, 3,    2480.37,  119.6,    1.0327, 0, 0, 0, 0, 0, 0, 0, 0
"5", 4.16, 3,    2478.44,  119.6,    1.0319, 0, 0, 0, 0, 0, 0, 0, 0
"6", 4.16, 3,    2476.81,  119.6,    1.0312, 0, 0, 0, 0, 0, 0, 0, 0
"8", 4.16, 1,    2440.15,   -1.4,     1.016, 2,     2493.8, -120.7,    1.0383, 3,    2462.79,  119.2,    1.0254
"12", 4.16, 2,    2493.12, -120.7,     1.038, 0, 0, 0, 0, 0, 0, 0, 0
"9", 4.16, 1,    2436.62,   -1.4,    1.0145, 0, 0, 0, 0, 0, 0, 0, 0
"13", 4.16, 1,       2421,   -1.8,     1.008, 2,    2488.54, -121.0,    1.0361, 3,    2449.23,  118.9,    1.0198
"9R", 4.16, 1,    2421.39,   -1.4,    1.0082, 0, 0, 0, 0, 0, 0, 0, 0
"14", 4.16, 1,    2417.34,   -1.5,    1.0065, 0, 0, 0, 0, 0, 0, 0, 0
"34", 4.16, 3,    2446.86,  118.9,    1.0188, 0, 0, 0, 0, 0, 0, 0, 0
